Number of Epochs,Accuracy
1,0.393
2,0.3968
3,0.5098
4,0.5605
5,0.571
6,0.5729
7,0.5726
8,0.5705
9,0.5706
10,0.5727
11,0.5815
12,0.5994
13,0.6681
14,0.7324
15,0.7481
16,0.7569
17,0.7585
18,0.7623
19,0.7641
20,0.7656
21,0.7643
22,0.7653
23,0.7655
24,0.765
25,0.7658
26,0.7655
27,0.7671
28,0.767
29,0.7661
30,0.7671
31,0.7674
32,0.7681
33,0.7661
34,0.7677
35,0.7674
36,0.7661
37,0.7678
38,0.7672
39,0.7675
40,0.768
41,0.7679
42,0.7682
43,0.768
44,0.7675
45,0.7675
46,0.7675
47,0.7686
48,0.7695
49,0.7692
50,0.769
51,0.7692
52,0.7685
53,0.7698
54,0.7705
55,0.7687
56,0.7696
57,0.7708
58,0.7702
59,0.7688
60,0.7701
61,0.7707
62,0.7702
63,0.7707
64,0.7705
65,0.7703
66,0.7712
67,0.7709
68,0.7706
69,0.7723
70,0.7726
71,0.7697
72,0.7708
73,0.7718
74,0.7724
75,0.7725
76,0.7728
77,0.7722
78,0.7726
79,0.7723
80,0.7737
81,0.7729
82,0.7725
83,0.773
84,0.7739
85,0.7745
86,0.7744
87,0.7743
88,0.774
89,0.7745
90,0.7749
91,0.7741
92,0.7744
93,0.7752
94,0.7774
95,0.7754
96,0.7756
97,0.7764
98,0.7766
99,0.7762
100,0.7762
101,0.7777
102,0.7763
103,0.7764
104,0.7776
105,0.7775
106,0.7769
107,0.7771
108,0.7779
109,0.7779
110,0.7781
111,0.7774
112,0.7773
113,0.7793
114,0.7794
115,0.7792
116,0.7792
117,0.7793
118,0.7804
119,0.7821
120,0.7818
121,0.7813
122,0.7831
123,0.7817
124,0.7826
125,0.7828
126,0.7833
127,0.7834
128,0.784
129,0.7822
130,0.7845
131,0.7848
132,0.7848
133,0.7838
134,0.7855
135,0.784
136,0.7847
137,0.7871
138,0.7859
139,0.7863
140,0.7858
141,0.7881
142,0.7862
143,0.7862
144,0.7871
145,0.7872
146,0.7893
147,0.7892
148,0.7891
149,0.7901
150,0.7908
151,0.7911
152,0.7912
153,0.791
154,0.7926
155,0.7927
156,0.7937
157,0.7946
158,0.795
159,0.7948
160,0.7955
161,0.7954
162,0.7968
163,0.7975
164,0.7981
165,0.7977
166,0.7986
167,0.8002
168,0.7981
169,0.7998
170,0.7974
171,0.8005
172,0.8004
173,0.8009
174,0.8008
175,0.8013
176,0.802
177,0.8029
178,0.8017
179,0.8034
180,0.804
181,0.8034
182,0.804
183,0.804
184,0.8051
185,0.8042
186,0.8053
187,0.8069
188,0.8078
189,0.8062
190,0.8082
191,0.8081
192,0.8079
193,0.8074
194,0.8091
195,0.8108
196,0.8102
